Date,Close,Name
Dec 15 2020,124.8000031,ABNB
Dec 16 2020,137.9900055,ABNB
Dec 17 2020,147.0500031,ABNB
Dec 18 2020,157.3000031,ABNB
Dec 21 2020,163.0200043,ABNB
Dec 22 2020,163.1900024,ABNB
Dec 23 2020,158.0099945,ABNB
Dec 24 2020,154.8399963,ABNB
Dec 28 2020,149,ABNB
Dec 29 2020,150,ABNB
Dec 30 2020,148.4299927,ABNB
Dec 31 2020,146.8000031,ABNB
Jan 04 2021,139.1499939,ABNB
Jan 05 2021,148.3000031,ABNB
Jan 06 2021,142.7700043,ABNB
Jan 07 2021,151.2700043,ABNB
Jan 08 2021,149.7700043,ABNB
Jan 11 2021,148.1300049,ABNB
Jan 12 2021,160.8000031,ABNB
Jan 13 2021,169.9900055,ABNB
Jan 14 2021,180.5,ABNB
Jan 15 2021,169.2700043,ABNB
Jan 19 2021,173.6900024,ABNB
Jan 20 2021,161.8300018,ABNB
Jan 21 2021,180.3999939,ABNB
Jan 22 2021,181.8699951,ABNB
Jan 25 2021,177.5299988,ABNB
Jan 26 2021,192.7400055,ABNB
Jan 27 2021,201.25,ABNB
Jan 28 2021,187.3699951,ABNB
Jan 29 2021,183.6300049,ABNB
Feb 01 2021,180.4400024,ABNB
Feb 02 2021,179.1699982,ABNB
Feb 03 2021,185.7200012,ABNB
Feb 04 2021,195.8000031,ABNB
Feb 05 2021,195.3099976,ABNB
Feb 08 2021,200.4299927,ABNB
Feb 09 2021,199.8800049,ABNB
Feb 10 2021,211.6600037,ABNB
Feb 11 2021,216.8399963,ABNB
Feb 12 2021,212.6799927,ABNB
Feb 16 2021,209.8600006,ABNB
Feb 17 2021,201.9600067,ABNB
Feb 18 2021,198.0399933,ABNB
Feb 19 2021,201.0700073,ABNB
Feb 22 2021,195.3399963,ABNB
Feb 23 2021,187.5899963,ABNB
Feb 24 2021,200.1999969,ABNB
Feb 25 2021,182.0599976,ABNB
Feb 26 2021,206.3500061,ABNB
Mar 01 2021,196.4199982,ABNB
Mar 02 2021,189.8999939,ABNB
Mar 03 2021,180.3999939,ABNB
Mar 04 2021,180.2299957,ABNB
Mar 05 2021,179.8099976,ABNB
Mar 08 2021,180.8099976,ABNB
Mar 09 2021,183.1100006,ABNB
Mar 10 2021,183.7899933,ABNB
Mar 11 2021,197.8699951,ABNB
Mar 12 2021,206.7400055,ABNB
Mar 15 2021,209.9900055,ABNB
Mar 16 2021,200.0099945,ABNB
Mar 17 2021,201.3600006,ABNB
Mar 18 2021,191.4499969,ABNB
Mar 19 2021,194.3899994,ABNB
Mar 22 2021,195,ABNB
Mar 23 2021,187.1399994,ABNB
Mar 24 2021,178.8500061,ABNB
Mar 25 2021,176.1600037,ABNB
Mar 26 2021,174.3999939,ABNB
Mar 29 2021,182.5,ABNB
Mar 30 2021,183.1000061,ABNB
Mar 31 2021,187.9400024,ABNB
Apr 01 2021,188.2400055,ABNB
Apr 05 2021,186.6900024,ABNB
Apr 06 2021,190.0299988,ABNB
Apr 07 2021,179.9400024,ABNB
Apr 08 2021,180.1799927,ABNB
Apr 09 2021,179.5,ABNB
Apr 12 2021,176.4900055,ABNB
Apr 13 2021,177.9499969,ABNB
Apr 14 2021,176.4299927,ABNB
Apr 15 2021,175.3500061,ABNB
Apr 16 2021,178.6900024,ABNB
Apr 19 2021,174.5800018,ABNB
Apr 20 2021,169.5700073,ABNB
Apr 21 2021,167.0700073,ABNB
Apr 22 2021,170.7100067,ABNB
Apr 23 2021,174.25,ABNB
Apr 26 2021,174.8800049,ABNB
Apr 27 2021,177.9400024,ABNB
Apr 28 2021,180,ABNB
Apr 29 2021,177.6799927,ABNB
Apr 30 2021,172.7100067,ABNB
May 03 2021,168.1100006,ABNB
May 04 2021,168.8999939,ABNB
May 05 2021,162.3300018,ABNB
May 06 2021,153.6399994,ABNB
May 07 2021,151.2100067,ABNB
May 10 2021,146.7299957,ABNB
May 11 2021,142.7299957,ABNB
May 12 2021,140.25,ABNB
May 13 2021,135.75,ABNB
May 14 2021,141.1999969,ABNB
May 17 2021,132.5,ABNB
May 18 2021,135.0200043,ABNB
May 19 2021,138.1900024,ABNB
May 20 2021,136.1999969,ABNB
May 21 2021,134.7100067,ABNB
May 24 2021,135.9100037,ABNB
May 25 2021,133.9900055,ABNB
May 26 2021,134.75,ABNB
May 27 2021,143.1699982,ABNB
May 28 2021,140.3999939,ABNB
Jun 01 2021,144.3099976,ABNB
Jun 02 2021,151,ABNB
Jun 03 2021,144.1900024,ABNB
Jun 04 2021,150.7299957,ABNB
Jun 07 2021,148.9700012,ABNB
Jun 08 2021,147.0099945,ABNB
Jun 09 2021,144.8500061,ABNB
Jun 10 2021,146.1199951,ABNB
Jun 11 2021,148.4400024,ABNB
Jun 14 2021,149.2100067,ABNB
Jun 15 2021,151.7799988,ABNB
Jun 16 2021,149.1499939,ABNB
Jun 17 2021,150.6999969,ABNB
Jun 18 2021,152.5200043,ABNB
Jun 21 2021,149.6999969,ABNB
Jun 22 2021,149.6799927,ABNB
Jun 23 2021,151.5800018,ABNB
Jun 24 2021,150.7299957,ABNB
Jun 25 2021,149.6699982,ABNB
Jun 28 2021,149.9400024,ABNB
Jun 29 2021,146.0800018,ABNB
Jun 30 2021,153.1399994,ABNB
Jul 01 2021,153.0800018,ABNB
Jul 02 2021,150.2299957,ABNB
Jul 06 2021,148.3699951,ABNB
Jul 07 2021,143.7200012,ABNB
Jul 08 2021,142.5299988,ABNB
Jul 09 2021,149.6399994,ABNB
Jul 12 2021,146.6900024,ABNB
Jul 13 2021,143.4100037,ABNB
Jul 14 2021,139.0899963,ABNB
Jul 15 2021,137.5,ABNB
Jul 16 2021,134.3099976,ABNB
Jul 19 2021,131.8800049,ABNB
Jul 20 2021,136.0899963,ABNB
Jul 21 2021,139.25,ABNB
Jul 22 2021,139.4700012,ABNB
Jul 23 2021,138.7299957,ABNB
Jul 26 2021,142,ABNB
Jul 27 2021,141.5800018,ABNB
Jul 28 2021,143.3000031,ABNB
Jul 29 2021,143.4700012,ABNB
Jul 30 2021,144.0099945,ABNB
Aug 02 2021,145.4900055,ABNB
Aug 03 2021,145.6499939,ABNB
Aug 04 2021,147.3999939,ABNB
Aug 05 2021,150.3200073,ABNB
Aug 06 2021,149.9900055,ABNB
Aug 09 2021,149.4400024,ABNB
Aug 10 2021,147.9499969,ABNB
Aug 11 2021,148.1600037,ABNB
Aug 12 2021,151.1499939,ABNB
Aug 13 2021,152.7599945,ABNB
Aug 16 2021,148.5700073,ABNB
Aug 17 2021,143.8999939,ABNB
Aug 18 2021,146.7400055,ABNB
Aug 19 2021,142.6499939,ABNB
Aug 20 2021,143.6999969,ABNB
Aug 23 2021,146.7899933,ABNB
Aug 24 2021,161.4199982,ABNB
Aug 25 2021,160.3500061,ABNB
Aug 26 2021,152.7299957,ABNB
Aug 27 2021,154.1799927,ABNB
Aug 30 2021,156.0200043,ABNB
Aug 31 2021,154.9900055,ABNB
Sep 01 2021,156.5899963,ABNB
Sep 02 2021,157.1999969,ABNB
Sep 03 2021,158,ABNB
Sep 07 2021,165,ABNB
Sep 08 2021,163.9299927,ABNB
Sep 09 2021,166,ABNB
Sep 10 2021,165.1999969,ABNB
Sep 13 2021,160.3200073,ABNB
Sep 14 2021,163.3000031,ABNB
Sep 15 2021,166.3699951,ABNB
Sep 16 2021,168.1499939,ABNB
Sep 17 2021,166.5899963,ABNB
Sep 20 2021,161.6399994,ABNB
Sep 21 2021,169.2899933,ABNB
Sep 22 2021,169.9600067,ABNB
Sep 23 2021,175.1300049,ABNB
Sep 24 2021,175.8800049,ABNB
Sep 27 2021,174.2599945,ABNB
Sep 28 2021,168.5800018,ABNB
Sep 29 2021,168.0700073,ABNB
Sep 30 2021,167.75,ABNB
Oct 01 2021,173.0099945,ABNB
Oct 04 2021,164.5,ABNB
Oct 05 2021,164.7400055,ABNB
Oct 06 2021,167.25,ABNB
Oct 07 2021,169.6000061,ABNB
Oct 08 2021,169.9700012,ABNB
