Year,Country,Exports,Index
0,Japan,1.07E+12,100
1,Japan,1.12E+12,104.4655913
2,Japan,1.03E+12,96.4077478
3,Japan,1.08E+12,100.4815214
4,Japan,1.15E+12,107.6890894
5,Japan,1.23E+12,115.0631711
6,Japan,1.22E+12,113.6240299
7,Japan,1.09E+12,101.5458581
