Year,Country,Exports,Index
0,Brazil,1.89E+11,100
1,Brazil,2.50E+11,132.0428836
2,Brazil,3.15E+11,166.8030308
3,Brazil,2.90E+11,153.4886926
4,Brazil,2.93E+11,154.7684172
5,Brazil,2.72E+11,143.7576728
6,Brazil,2.26E+11,119.5567257
7,Brazil,2.30E+11,121.8719236
8,Brazil,2.76E+11,145.8702187
9,Brazil,2.88E+11,152.450903
