Date,V,TM,PG,PCRFY,INTC,KO,BRDCY,ABNB
22/02/2021,207.3696136,152.4400024,124.2191238,13.72000027,59.53478241,49.08261108,19.96999931,195.3399963
23/02/2021,211.1423187,152.7299957,125.1415939,13.60000038,59.9368515,48.99536514,19.95000076,187.5899963
24/02/2021,218.4289093,152.4499969,125.2789841,13.75,61.96678162,49.16016769,20.06999969,200.1999969
25/02/2021,212.774826,149.2599945,124.2191238,13.39999962,59.23078918,48.63666534,20.02000046,182.0599976
26/02/2021,211.4210205,147.9299927,121.2260132,13.11999989,59.6034317,47.49273682,19.80999947,206.3500061
01/03/2021,215.6416931,149.3399963,121.9718399,13.13000011,61.66278076,48.37492371,19.73999977,196.4199982
02/03/2021,214.785614,149.2100067,121.5891113,13.23999977,60.0545311,48.56880951,19.65999985,189.8999939
03/03/2021,213.869812,148.8300018,120.862915,13.07999992,58.74046707,48.4524765,20.03000069,180.3999939
04/03/2021,210.5350952,146.8500061,119.8717575,12.78999996,57.20086288,48.4137001,20.06999969,180.2299957
05/03/2021,214.4272614,148.5200043,123.6303253,13.30000019,59.56420898,49.2377243,20.38999939,179.8099976
08/03/2021,219.2650909,148.2299957,124.9355087,13.13000011,58.69143295,50.06174469,19.93000031,180.8099976
09/03/2021,219.3546753,151.5399933,123.8265915,12.48999977,61.45684052,49.30558395,20.37999916,183.1100006
10/03/2021,222.1518555,151.8800049,124.9649506,12.35000038,61.04497528,49.86785126,20.64999962,183.7899933
11/03/2021,225.1182556,150.3600006,124.5429764,12.31000042,62.0844574,49.32497406,20.10000038,197.8699951
12/03/2021,223.3364258,150.5299988,125.7500305,12.43000031,61.68239212,49.22722244,20.15999985,206.7400055
15/03/2021,222.2513885,152.8999939,126.1622009,12.43999958,62.55516434,49.88214874,20.18000031,209.9900055
16/03/2021,223.674881,152.1000061,126.5351105,12.52999973,63.52599716,50.06787491,20.10000038,200.0099945
17/03/2021,222.002533,153.6399994,126.0248108,12.76000023,64.50663757,50.08742523,20.04000092,201.3600006
18/03/2021,219.6533203,157.7100067,126.2995911,12.72000027,62.49632263,49.43249512,20.27000046,191.4499969
19/03/2021,205.9560699,158.5800018,125.6224518,13.09000015,62.52574539,49.667099,20.27000046,194.3899994
22/03/2021,207.0510559,154.4799957,127.7519836,12.96000004,64.35954285,49.85282516,20.27000046,195
23/03/2021,207.2003784,151.3399963,130.1268463,12.88000011,62.25116348,50.23405075,20.12000084,187.1399994
24/03/2021,207.1207581,150.6699982,130.0875854,12.80000019,60.83904266,50.36112976,19.89999962,178.8500061
25/03/2021,207.0212097,151.0700073,130.9904327,13.05000019,60.81942749,50.8498764,20.29999924,176.1600037
26/03/2021,212.5558319,153.3699951,132.9236908,13.06999969,63.61426163,51.84693909,20.64999962,174.3999939
29/03/2021,213.5313416,154.8999939,135.0041656,12.98999977,63.25142288,52.63871384,20.69000053,182.5
30/03/2021,210.9332733,153.8699951,132.9236908,13.14999962,62.53555298,51.95446396,20.88999939,183.1000061
31/03/2021,210.7640381,156.0599976,132.9040527,13.03999996,62.76110077,51.52436066,20.35000038,187.9400024
01/04/2021,215.8706512,154.1600037,131.7755127,12.93999958,63.30046082,51.32885742,20.02000046,188.2400055
05/04/2021,218.0406952,155.3800049,133.9050293,13.07999992,65.25193024,51.62211227,20.09000015,186.6900024
06/04/2021,217.6524811,153.6499939,133.9541168,12.89999962,64.29089355,51.99356079,19.78000069,190.0299988
07/04/2021,218.2696381,154.6999969,134.1896362,12.84000015,64.96754456,52.08153915,20.09000015,179.9400024
08/04/2021,219.6931152,153.3800049,134.6999359,12.56999969,65.75205994,51.92514038,20.04000092,180.1799927
09/04/2021,221.5048218,154.2799988,133.8265381,12.71000004,66.93864441,51.98378754,20.12999916,179.5
12/04/2021,220.45961,154.0899963,134.3662872,12.68000031,64.14381409,52.14996338,20.10000038,176.4900055
13/04/2021,220.011673,155.7700043,132.5900421,12.85000038,63.95748138,51.89580917,20.03000069,177.9499969
14/04/2021,220.9672852,156.2200012,133.0709076,12.90999985,62.94742203,51.88603973,20.25,176.4299927
15/04/2021,225.2476654,157.3099976,134.6803131,12.97999954,63.76135635,52.13041687,20.44000053,175.3500061
16/04/2021,225.3770752,157.5700073,134.6901245,12.98999977,63.49657822,52.47254181,20.44000053,178.6900024
19/04/2021,224.7598877,156.4100037,134.0620575,12.89000034,62.39826202,52.78533936,20.35000038,174.5800018
20/04/2021,222.2613373,154.1000061,135.1808014,12.5,61.48626709,52.9515152,19.98999977,169.5700073
21/04/2021,226.412323,155.1399994,134.2975922,12.57999992,62.4669075,53.38162613,20.32999992,167.0700073
22/04/2021,226.5317841,154.7799988,132.9642792,12.52000046,61.35878372,53.21544647,20.46999931,170.7100067
23/04/2021,228.9506989,154.9900055,132.2828217,12.10000038,58.09324265,53.24477005,21.01000023,174.25
26/04/2021,229.2891235,153.5399933,129.6359711,12.22000027,57.62253189,52.45299149,20.84000015,174.8800049
