Year,Country,Exports,Index
0,Spain,4.17E+11,100
1,Spain,4.40E+11,105.5859817
2,Spain,5.12E+11,122.8306651
3,Spain,4.80E+11,115.259268
4,Spain,5.19E+11,124.4209448
5,Spain,5.28E+11,126.7115018
6,Spain,4.63E+11,111.0602071
7,Spain,4.82E+11,115.5355024
8,Spain,5.30E+11,127.1290593
9,Spain,5.76E+11,138.282646
