Year,Country,Exports,Index
0,France,7.68E+11,100
1,France,8.71E+11,113.3456958
2,France,1.02E+12,132.4338336
3,France,1.11E+12,144.8180476
4,France,8.78E+11,114.273948
5,France,9.31E+11,121.2591605
6,France,1.06E+12,138.2211252
7,France,1.01E+12,131.3520165
8,France,1.05E+12,136.3593404
9,France,1.06E+12,138.4483765
