Date,Index,Value
2016-07-01,Euro,126.5614354
2016-08-01,Euro,126.9134681
2016-09-01,Euro,127.1178742
2016-10-01,Euro,127.2995685
2016-11-01,Euro,125.3917783
2016-12-01,Euro,120.7585737
2017-01-01,Euro,118.2829889
2017-02-01,Euro,122.1667045
2017-03-01,Euro,119.9636611
2017-04-01,Euro,120.9970475
2017-05-01,Euro,123.9155122
2017-06-01,Euro,127.3449921
2017-07-01,Euro,129.0824438
2017-08-01,Euro,133.9881899
2017-09-01,Euro,134.8853055
2017-10-01,Euro,133.3749716
2017-11-01,Euro,131.9327731
2017-12-01,Euro,135.2486941
2018-01-01,Euro,136.8385192
2018-02-01,Euro,141.7442653
2018-03-01,Euro,138.7235975
2018-04-01,Euro,139.5412219
2018-05-01,Euro,136.2707245
2018-06-01,Euro,132.6254826
2018-07-01,Euro,131.7737906
2018-08-01,Euro,132.477856
2018-09-01,Euro,131.3422666
2018-10-01,Euro,131.3536225
2018-11-01,Euro,129.4117647
2018-12-01,Euro,128.957529
2019-01-01,Euro,128.9688849
2019-02-01,Euro,130.2975244
2019-03-01,Euro,129.1846468
2019-04-01,Euro,127.2995685
2019-05-01,Euro,127.7083806
2019-06-01,Euro,127.2541449
2019-07-01,Euro,128.4010902
2019-08-01,Euro,125.6188962
2019-09-01,Euro,124.5514422
2019-10-01,Euro,124.14263
2019-11-01,Euro,126.8339768
2019-12-01,Euro,125.7665228
2020-01-01,Euro,126.7999092
2020-02-01,Euro,125.6188962
2020-03-01,Euro,126.7771974
2020-04-01,Euro,124.1653418
2020-05-01,Euro,124.892119
2020-06-01,Euro,126.3116057
2020-07-01,Euro,127.8560073
2020-08-01,Euro,133.4317511
2020-09-01,Euro,135.6915739
2020-10-01,Euro,133.4544629
2020-11-01,Euro,132.1144674
2020-12-01,Euro,136.7136044
2021-01-01,Euro,139.1551215
2021-02-01,Euro,137.0656371
2021-03-01,Euro,136.8839428
2021-04-01,Euro,133.6815807
2021-05-01,Euro,136.9407222
2021-06-01,Euro,139.0074949
2021-07-01,Euro,134.6468317
2021-08-01,Euro,134.828526
2000-10-01,Yuan,100
2000-11-01,Yuan,97.4789916
2000-12-01,Yuan,99.53440836
2001-01-01,Yuan,100.0132884
2001-02-01,Yuan,106.5637066
2001-03-01,Yuan,105.5076084
2001-04-01,Yuan,100.0169131
2001-05-01,Yuan,101.4876221
2001-06-01,Yuan,95.98001363
2001-07-01,Yuan,100.0241633
2001-08-01,Yuan,99.85237338
2001-09-01,Yuan,100.0265803
2001-10-01,Yuan,104.0086305
2001-11-01,Yuan,102.7027027
2001-12-01,Yuan,100.0241633
2002-01-01,Yuan,100.0289974
2002-02-01,Yuan,97.80831251
2002-03-01,Yuan,98.25119237
2002-04-01,Yuan,100
2002-05-01,Yuan,102.9071088
2002-06-01,Yuan,100.0277889
2002-07-01,Yuan,112.3438565
2002-08-01,Yuan,111.7760618
2002-09-01,Yuan,100.0241633
2002-10-01,Yuan,111.9577561
2002-11-01,Yuan,113.2296162
2002-12-01,Yuan,100.0205381
2003-01-01,Yuan,99.98792271
2003-02-01,Yuan,100.0265803
2003-03-01,Yuan,100.0181214
2003-04-01,Yuan,123.824665
2003-05-01,Yuan,127.6175335
2003-06-01,Yuan,100.0265803
2003-07-01,Yuan,131.5012491
2003-08-01,Yuan,127.776516
2003-09-01,Yuan,100.0229549
2003-10-01,Yuan,132.9548035
2003-11-01,Yuan,100.0289974
2003-12-01,Yuan,135.7710652
2004-01-01,Yuan,100.0253718
2004-02-01,Yuan,100.0241633
2004-03-01,Yuan,141.1651147
2004-04-01,Yuan,140.3361345
2004-05-01,Yuan,100.0229549
2004-06-01,Yuan,138.6554622
2004-07-01,Yuan,138.0649557
2004-08-01,Yuan,100.0241633
2004-09-01,Yuan,138.3034295
2004-10-01,Yuan,140.813082
2004-11-01,Yuan,144.6854417
2004-12-01,Yuan,151.1242335
2005-01-01,Yuan,100.030206
2005-02-01,Yuan,147.8196684
2005-03-01,Yuan,149.7728821
2005-04-01,Yuan,146.4456053
2005-05-01,Yuan,100.030206
2005-06-01,Yuan,138.9052918
2005-07-01,Yuan,135.7824211
2005-08-01,Yuan,138.4851238
2005-09-01,Yuan,141.346809
2005-10-01,Yuan,102.3109244
2005-11-01,Yuan,136.2480127
2005-12-01,Yuan,132.8866682
2006-01-01,Yuan,102.5872965
2006-02-01,Yuan,137.3154667
2006-03-01,Yuan,135.1237792
2006-04-01,Yuan,103.2165565
2006-05-01,Yuan,143.163752
2006-06-01,Yuan,145.6279809
2006-07-01,Yuan,103.5859066
2006-08-01,Yuan,145.1056098
2006-09-01,Yuan,145.730184
2006-10-01,Yuan,104.7444332
2006-11-01,Yuan,145.0261186
2006-12-01,Yuan,151.2150806
2007-01-01,Yuan,106.0716711
2007-02-01,Yuan,147.865092
2007-03-01,Yuan,149.5911878
2007-04-01,Yuan,107.1077417
2007-05-01,Yuan,154.4401544
2007-06-01,Yuan,152.6232114
2007-07-01,Yuan,108.8554336
2007-08-01,Yuan,155.3713377
2007-09-01,Yuan,109.7108478
2007-10-01,Yuan,161.5830116
2007-11-01,Yuan,163.9223257
2007-12-01,Yuan,111.8632617
2008-01-01,Yuan,113.494914
2008-02-01,Yuan,168.6463775
2008-03-01,Yuan,116.5481805
2008-04-01,Yuan,177.3222803
2008-05-01,Yuan,175.539405
