Year,Country,Exports,Index
0,United Kingdom,9.93E+11,100
1,United Kingdom,1.20E+12,121.3249762
2,United Kingdom,1.41E+12,141.8002307
3,United Kingdom,1.35E+12,135.8513918
4,United Kingdom,9.23E+11,92.94371449
5,United Kingdom,9.79E+11,98.56288852
6,United Kingdom,1.15E+12,115.8177591
7,United Kingdom,1.09E+12,109.7775411
8,United Kingdom,1.09E+12,109.4458456
9,United Kingdom,1.11E+12,111.5678176
