Year,Country,Exports,Index
0,Turkey,2.32E+11,100
1,Turkey,2.40E+11,103.8595415
2,Turkey,2.15E+11,92.79008102
3,Turkey,2.04E+11,88.24431239
4,Turkey,2.28E+11,98.31487847
5,Turkey,2.44E+11,105.2302683
6,Turkey,2.51E+11,108.5344366
7,Turkey,2.11E+11,90.9576949
